rank	run_id	checkpoint	checkpoint_exists	checkpoint_size_bytes	checkpoint_sha256	config_exists	config_sha256	metrics_exists	metrics_sha256	best_step	full_mse	pearson
66	rna_seq11_1bpB_residual_extend_20260526_conv5_bn64_h64_scale001_mse_lr3e-4_from1000_seed20260526_1000steps	runs/rna_seq11_1bpB_residual_extend_20260526_conv5_bn64_h64_scale001_mse_lr3e-4_from1000_seed20260526_1000steps/adapter_head_best.pt	True	4972296	b09970f7a5c4f41465f5daec938c3aa5ec05b13b939bf57a419177bc04324edd	True	1616d9913da8dbee6d88f1c5ecc3fc0f29a931da27a0da811388a304af9f4134	True	98a2cbe66078500a25c63908dfeee1a803f365499a6e5b038477a0ec2dfdb89f	750	0.84533407	0.69053706
67	rna_seq11_1bpB_head_sweep_20260528_dilconv3d4_b128_h128_l2_1e-3_beta05_hard15_matchinit_w12_lr3e-5_seedrand_1500steps	runs/rna_seq11_1bpB_head_sweep_20260528_dilconv3d4_b128_h128_l2_1e-3_beta05_hard15_matchinit_w12_lr3e-5_seedrand_1500steps/adapter_head_best.pt	True	5533448	71bf9d9ca3b5242251da088bd76cae36186798cfbf3484d34a6e136b8f24a4eb	True	fbc927e924c06e47ec0c78b94a1f7588fac211bdc4d22a41efa354b93ae2d86f	True	466b796ca77608c745a0864adc08d9a09f2820197941710bfd17f4d20ec780d7	250	0.84734383	0.68874216
68	rna_seq11_1bpB_residual_20260526_conv5_bn64_h64_scale001_hybrid_lr1e-3_seed20260526_1000steps	runs/rna_seq11_1bpB_residual_20260526_conv5_bn64_h64_scale001_hybrid_lr1e-3_seed20260526_1000steps/adapter_head_best.pt	True	4972168	5e509f67b08e2b58eeef4fc6058d89050aed4a3c15133e78b46170ce1f816eec	True	820864fdf4ae76319edbfb7b852de55489753b6f31794263dbdb966889f2fd5a	True	5d92e554d69534625d9756b3cd873dcc35fa35589cf9bdfd7d8059d93fb84dbb	1000	0.84735946	0.68895678
69	rna_seq11_1bpB_head_sweep_20260528_dilconv3d2_b128_h128_l2_1e-3_beta05_hard15_matchinit_w12_lr3e-5_seedrand_1500steps	runs/rna_seq11_1bpB_head_sweep_20260528_dilconv3d2_b128_h128_l2_1e-3_beta05_hard15_matchinit_w12_lr3e-5_seedrand_1500steps/adapter_head_best.pt	True	5533448	19c28a0e59dd08315ae54defa4f8fab0d27b1990f8b0528d50804fec36a96285	True	647dd0171f6f6c04bc7378637b455df4f8ea3462fdd6420f03fcb9dd6c4a03f6	True	9696d9a6cca1220f4e098f4011a648e16d22f59938cc5e40f99556b5a0d2c3bd	250	0.84758516	0.68842723
70	rna_seq11_1bpB_sigweight_w1_rank1_highgt3x2_a075_b05_lr3e-6_1500steps	runs/rna_seq11_1bpB_sigweight_w1_rank1_highgt3x2_a075_b05_lr3e-6_1500steps/adapter_head_best.pt	True	5664968	d839eac7135b725a519a20fb75ae97667062ad94f344efdbd546f5db7ca51116	True	d1a541b836c4a0c69bbece1488e546aad35c26229899e3f2ac6e61b09db6e930	True	6348fa3de1c491717e53be0031b7ec69231ba7f029fd2aa7c0ad04b4ba1c5434	250	0.84762559	0.69586601
71	rna_seq11_1bpB_residual_20260526_conv5_bn64_h64_scale01_hybrid_lr1e-3_seed20260526_1000steps	runs/rna_seq11_1bpB_residual_20260526_conv5_bn64_h64_scale01_hybrid_lr1e-3_seed20260526_1000steps/adapter_head_best.pt	True	4972168	65faa1f9795513e08ddd3013581ebb10d1564bbda961a1885565e9005c29810f	True	6b4ebc42b96924156d81934f2b13569adacf2a94cbf76e5ce53b0840a20969d1	True	5d13b070608618a70cd14e42dc4e7671df444cd2004f96d6bc62acb5348583ca	750	0.84815344	0.68854828
72	rna_seq11_1bpB_residual_20260526_conv3_bn64_h64_scale001_hybrid_lr1e-3_seed20260526_1000steps	runs/rna_seq11_1bpB_residual_20260526_conv3_bn64_h64_scale001_hybrid_lr1e-3_seed20260526_1000steps/adapter_head_best.pt	True	4939400	264defc25335bacd1566f3b0de77aa56ebd405118b2bb297bb6ce8d4f846f281	True	581919aac422e9fb696f1fd34b0af5c51df43173269b8b80f5ab6119cd3bce55	True	e855de172b647d52e75df51cb310d5a37c30469b8cc0cde1450df2fff1f3cf8a	500	0.84938655	0.68771244
73	rna_seq11_1bpB_fusion_20260528_basepred_conv7_b128_h128_l2_1e-3_beta05_hard15_matchinit_w12_lr3e-5_seedrand_1000steps	runs/rna_seq11_1bpB_fusion_20260528_basepred_conv7_b128_h128_l2_1e-3_beta05_hard15_matchinit_w12_lr3e-5_seedrand_1000steps/adapter_head_best.pt	True	5801288	10be0e0f69e6812a670a7f6eac243da0a2c8f4714ca5e2b319dbe8d0e8e244df	True	a8182226e9e061c8639b1373639a98586389fb63f9032232d87daaf6e212f50e	True	68c4375bbb95b6af7f1cc638b989710b5737f1ccf20bad7929b43009ac105345	250	0.85084183	0.68730186
74	rna_seq11_1bpB_residual_20260526_conv5_bn128_h128_scale001_hybrid_lr1e-3_seed20260526_1000steps	runs/rna_seq11_1bpB_residual_20260526_conv5_bn128_h128_scale001_hybrid_lr1e-3_seed20260526_1000steps/adapter_head_best.pt	True	5663880	e08c346cbacf1935242860aed08f0e7b978322f1c528a269eea71d145d6333dd	True	1df11def6c75d895817c78e0954a15f81e5bae0d0138770da553c791d409ad16	True	d140f00462e34650dcde5da765499e4be3f3cbcf836dcb59d38257f33691b2ac	1000	0.85172713	0.69013527
75	rna_seq11_1bpB_head_sweep_20260528_conv3x2_b128_h128_l2_1e-3_beta05_hard15_matchinit_w12_lr3e-5_seedrand_1500steps	runs/rna_seq11_1bpB_head_sweep_20260528_conv3x2_b128_h128_l2_1e-3_beta05_hard15_matchinit_w12_lr3e-5_seedrand_1500steps/adapter_head_best.pt	True	5731158	483b507669f54550645adcb8e53b86e3cb66a4836b47c73cda20246efa6e6f60	True	09ffb7a25830ec5bf03681be2c7c0c9f52ab38dbfaa7639a9e0950dea012bdc7	True	cd548b0803957ab5eb67359e1e91b6c8811001800f7c56d31ab9644fc8081c40	250	0.85233903	0.68717763
